#,Group,Name,Link,Kind,What it covers,Why the design works,What to copy,Screenshot file
01,Examine,https://examine.com,Keeper,Evidence grades,Supplement and health claims graded by strength of proof.,"Minimal white and navy cards with evidence grades, no ads.",Evidence grades and linked references.,s01-examine.png
02,Labdoor,https://labdoor.com/rankings/creatine,Health evidence,Lab tester,"Supplements bought retail and tested in chemistry labs, letter grades.",Bright startup-clean rankings with big grades and product photos.,Retail-bought lab grades plus scoring method page.,s02-labdoor.png
03,MSKCC About Herbs,https://www.mskcc.org/cancer-care/diagnosis-treatment/symptom-management/integrative-medicine/herbs/search,Health evidence,Herb library,"307 herb monographs with uses, actions, and drug clashes.",Calm hospital design with large photos and clear cards.,Weekly pharmacist-updated monographs with references.,s03-mskcc-herbs.png
04,DrugBank,https://go.drugbank.com/drugs/DB00682,Health evidence,Drug reference,"Drug pages with uses, clashes, harm ratings, and evidence levels.",Modern blue and white cards with sticky section menu.,Harm rating plus evidence level per interaction.,s04-drugbank.png
05,Harvard Nutrition Source,https://nutritionsource.hsph.harvard.edu/what-should-you-eat/protein/,Health evidence,Nutrition guide,Food guides with package tables and disease tabs from large cohorts.,Warm editorial design with custom graphics and quizzes.,Package tables plus numbered journal links.,s05-harvard-nutrition.png
06,USPSTF Grades,https://www.uspreventiveservicestaskforce.org/uspstf/grade-definitions,Health evidence,Guidelines,Prevention grades A to I with exact practice advice per grade.,"Simple government-clean tables, consumer and clinician views.",Public evidence reviews plus conflict disclosures.,s06-uspstf.png
07,Serious Eats Food Lab,https://www.seriouseats.com/the-food-lab-5118015,Food,Tested cooking,Hundreds of controlled kitchen experiments with variables shown.,Clean magazine layout with step photos and failure modes.,Method-first testing with side by side variables.,s07-seriouseats.png
08,USDA FoodData Central,https://fdc.nal.usda.gov/,Food,Nutrient data,Hundreds of thousands of foods with tens of millions of values.,Official clean search with high contrast filter tables.,Open downloads plus public domain license.,s08-fooddata.png
09,Barista Hustle,https://www.baristahustle.com/,Food,Coffee school,Espresso and roasting courses with extraction math and calculators.,Modern coaching site with crisp course cards and lessons.,Literature-backed curriculum with instrumented tests.,s09-baristahustle.png
10,StillTasty,https://stilltasty.com/,Food,Shelf life,"Thousands of items with fridge, freezer, and pantry times.",Bright simple icon grid with short clear pages.,"Sources page naming USDA, FDA, and CDC.",s10-stilltasty.png
11,INCIDecoder,https://incidecoder.com/,Skincare,Ingredient DB,Ingredient explainers with use levels and linked product lists.,Clean white layout with pastel badges and large photos.,Proof list to dermatology journals per ingredient.,s11-incidecoder.png
12,Lab Muffin,https://labmuffin.com/,Skincare,Science blog,Deep dives on sunscreen and actives from a chemistry PhD.,Clean cards with consistent long-form article pages.,Further reading from 30 plus papers per post.,s12-labmuffin.png
13,SkinSort,https://skinsort.com/ingredients,Skincare,Ingredient DB,"29,326 ingredients with benefits, concerns, and analyzer tools.",Modern card grid with custom benefit icons.,PubMed references plus dupe finder and compare.,s13-skinsort.png
14,KindofStephen,https://www.kindofstephen.com/,Skincare,Formulator blog,"Formulator-level posts with pH and SPF math, all footnoted.","Simple white theme with inline diagrams, no clutter.",Numbered PubMed links plus chemical glossary.,s14-kindofstephen.png
15,The Eco Well,https://www.theecowell.com/,Skincare,Expert panels,Roundtables on sunscreen and contaminants with PhD guests.,Calm magazine layout with replay libraries and notes.,"Free full-day science summit, no product sales.",s15-ecowell.png
16,Investopedia,https://www.investopedia.com/terms/c/compoundinterest.asp,Money,Explain finance,"Money guides with formulas, worked math, and calculators.",Clean page with takeaways box and table of contents.,Author plus reviewer plus fact checker credits.,s16-investopedia.png
17,Ask CFPB,https://www.consumerfinance.gov/ask-cfpb/,Money,Official answers,Plain answers on credit and mortgages with review dates.,Navy and white design with short tidy sections.,Federal agency answers with legal disclaimer.,s17-askcfpb.png
18,Investor.gov Calculator,https://www.investor.gov/financial-tools-calculators/calculators/compound-interest-calculator,Money,Calculator,Stepped compound interest tool with quizzes and goal tools.,"Clean form with labels and explainers, no ads.",Official regulator tool with learning cards.,s18-investor-gov.png
19,FRED Economic Data,https://fred.stlouisfed.org/,Money,Data charts,800k plus time series with clean graphs you can share.,Official charts with one-click graph and download tools.,Graph plus units plus source notes per series.,s19-fred.png
20,Bankrate Mortgage Calc,https://www.bankrate.com/mortgages/mortgage-calculator/,Money,Calculator,Mortgage math with amortization formula and cost tabs.,Clean calculator with auto-updating charts.,Licensed lender ID plus advertiser disclosure.,s20-bankrate.png
21,Sleep Foundation,https://www.sleepfoundation.org/best-mattress,Mattress reviews,Test lab,"2,000 plus bed database with 9 sleeper-type scores per pick.",White editorial layout with sticky picks rail and score badges.,"Seattle lab plus home field tests, method published.",s21-sleepfoundation.png
22,NapLab,https://naplab.com/mattress-reviews/,Mattress reviews,Data tables,"460 plus mattresses, 10 tests and 64 data points each.",Minimal black and pink system with sortable master table.,Versioned scoring with weights plus side by side tool.,s22-naplab.png
23,Mattress Clarity,https://www.mattressclarity.com/reviews/best-mattress/,Mattress reviews,Studio tests,600 plus reviewed with pressure-mat PSI maps per bed.,Airy cards with detail boxes and pros and cons callouts.,Separate method pages with thresholds per factor.,s23-mattressclarity.png
24,Sleepopolis,https://sleepopolis.com/best-mattress/,Mattress reviews,Lab reviews,500 plus tested with pressure maps and versus pages.,Polished blue cards with heat images and video reviews.,"Lab plus at-home tests, expert network verified.",s24-sleepopolis.png
25,Mattress Nerd,https://www.mattressnerd.com/best-mattress/,Mattress reviews,Lab reviews,200 plus beds with cut-open durability checks.,Clean grid with tester quotes and sleeper-type chips.,Certified coaches protocol with factor tables.,s25-mattressnerd.png
26,Saatva Classic,https://www.saatva.com/mattresses/saatva-classic,Mattress brands,Brand page,Luxury hybrid with layer carousel and comfort selector.,"Hotel storytelling with quilted close-ups, still premium.","Firmness picker tied to sleeper guidance, 30 plus FAQs.",s26-saatva.png
27,Avocado Green,https://www.avocadogreenmattress.com/products/green-natural-organic-mattress,Mattress brands,Brand page,Organic latex with farm traceability and craft story.,Warm natural photography with clear firmness cards.,"Certs with license numbers, latex depth per model.",s27-avocado.png
28,Purple,https://purple.com/mattresses/purple-bed,Mattress brands,Brand page,Grid tech with exploded views and comfort slider.,"Pressure storytelling around 1,400 plus buckling columns.",Per-layer what and why plus honest compare table.,s28-purple.png
29,WinkBeds,https://www.winkbeds.com/pages/shop-winkbed,Mattress brands,Brand page,Hybrid with 4 firmnesses and press badge hero.,Crafted-in-USA imagery with inline size dims.,Review summaries by attribute with counts.,s29-winkbeds.png
30,Helix Midnight Luxe,https://helixsleep.com/products/midnight-luxe,Mattress brands,Brand page,Quiz-matched hybrid with cooling cover upgrades story.,Clean 14-model lineup that funnels by sleeper type.,Midnight versus Luxe side by side diff table.,s30-helix.png
31,Wirecutter,https://www.nytimes.com/wirecutter/reviews/anatomy-of-a-guide/,Lab-test reviews,Guide system,"1,300 plus guides with pick versus runner-up deltas.",NYT calm type with Trust and Flaws scaffold.,How we tested per guide plus scout reports.,s31-wirecutter.png
32,DPReview,https://www.dpreview.com/image-comparison/,Lab-test reviews,Camera lab,"Studio scene comparator at every ISO, RAW included.",Open layout with large samples and zoom panes.,"Published studio method, same targets per camera.",s32-dpreview.png
33,GSMArena,https://www.gsmarena.com/,Lab-test reviews,Phone lab,"Same battery, display, and charging charts per phone.",White cards with plain compare tables.,One lab routine so results compare across reviews.,s33-gsmarena.png
34,SoundGuys,https://www.soundguys.com/how-we-test/,Lab-test reviews,Audio lab,"57,000-point sweeps on a model head per headphone.",Minimal theme with annotated lab photos.,Published rig plus fixed 75 dB battery test.,s34-soundguys.png
35,HouseFresh,https://housefresh.com/how-we-test-air-purifiers/,Lab-test reviews,Air lab,Same-room particle tests with running-cost math.,Bright minimal design with filmed test graphs.,Ranked leaderboard plus weighted scorecard.,s35-housefresh.png
36,Notebookcheck,https://www.notebookcheck.net/,Lab-test reviews,Laptop lab,"Brightness, heat, noise, and battery per laptop.",Structured sections with tidy tables each time.,"Light meters plus flicker check, standard suite.",s36-notebookcheck.png
37,TFTCentral,https://tftcentral.co.uk/,Lab-test reviews,Monitor lab,Color maps and motion traces plus free profiles.,Quiet white layout with calm spec tables.,Profile file shared per review.,s37-tftcentral.png
38,Vacuum Wars,https://vacuumwars.com/robot-vacuums,Home,Vacuum lab,205 plus robots bought retail with live top-20 ranks.,Podium cards with score badges and studio shots.,Numeric score per test plus retest log.,s38-vacuumwars.png
39,Thuma,https://www.thuma.co/products/classic-bed,Home,Brand page,Joinery bed with tabs for dims and materials.,Japandi minimalism with warm gallery light.,Craft plus certs plus exact clearance in tabs.,s39-thuma.png
40,Parachute Fabric Guide,https://www.parachutehome.com/blogs/posts/fabric-materials-guide,Home,Brand guide,Weave and fiber teaching that links to collections.,Airy editorial style with soft neutrals.,Shop by feel picker for hot and cold sleepers.,s40-parachute.png
41,Burrow Nomad,https://burrow.com/products/nomad-sofa,Home,Brand page,Modular sofa with configurator and dimension tables.,Calm UI with lifestyle plus detail shots.,Full dims plus materials and certs in one scroll.,s41-burrow.png
42,OutdoorGearLab,https://www.outdoorgearlab.com/,Outdoor,Gear lab,Self-bought gear with weighted score tables.,White magazine layout with field-test heroes.,How We Tested plus weighted metrics.,s42-outdoorgearlab.png
43,Switchback Travel,https://www.switchbacktravel.com/,Outdoor,Field reviews,Best-of guides with spec tables and trail reviews.,Full-bleed mountain slides with uniform teasers.,Miles and places cited per review.,s43-switchback.png
44,RunRepeat,https://runrepeat.com/,Outdoor,Shoe lab,"1,000 plus shoes cut in half, 30 plus lab points each.",Lab-catalog cards with cut-open shoe photos.,Published method with ISO and ASTM tests.,s44-runrepeat.png
45,BikeRadar,https://www.bikeradar.com/,Outdoor,Bike reviews,Scored reviews plus versus shootouts and best lists.,Polished mag front with large hero shots.,Months-long tests with standard format.,s45-bikeradar.png
46,CleverHiker,https://www.cleverhiker.com/,Outdoor,Trail reviews,Tents and bags tested over thousands of nights.,Airy tutorial look with field photos.,"No payments for reviews, stated policy.",s46-cleverhiker.png
47,BabyGearLab car seats,https://www.babygearlab.com/topics/vehicle-safety/best-infant-car-seat,Baby and pet,Crash tests,"1,037 tests on 15 seats with sensor charts.",Soft white layout with rounded score cards.,"NHTSA-lab crash tests, 2 units per model.",s47-babygearlab.png
48,The Car Seat Lady,https://thecarseatlady.com/car-seat-buying-guide/,Baby and pet,Safety guide,"Use-case picks plus fit checklists, plain language.","Simple white-blue design, no ads or sliders.","Pediatrician run, zero sponsorship.",s48-carseatlady.png
49,Pediatric Picks,https://pediatricpicks.com/how-we-test/,Baby and pet,Method hub,Every category mapped to its ASTM safety rule.,Soft modern cards with honest verdicts.,"Retail-bought, recall pull within 24 hours.",s49-pediatricpicks.png
50,DogFoodAdvisor,https://www.dogfoodadvisor.com/dog-food-reviews/acana-dog-food-dry/,Baby and pet,Pet food DB,Dry-matter math plus recall history per recipe.,Clean dashboard dials with consistent tables.,"Nutritionist verified, method disclosed.",s50-dogfoodadvisor.png
51,Clean Label Project,https://cleanlabelproject.org/dog-food-study/,Baby and pet,Contaminant lab,"11,376 tests for metals and chemicals, method published.",Bright nonprofit report design with infographics.,"ISO lab partner, full whitepaper public.",s51-cleanlabel.png
52,Edmunds Tested,https://www.edmunds.com/car-reviews/car-reviews-road-tests.html,Cars and travel,Car lab,Instrumented 0-60 and braking tables per review.,Premium white layout with hero photography.,Own test track plus 10-point rating.,s52-edmunds.png
53,Auto Buyers Guide,https://autobuyersguide.com/,Cars and travel,Shopper tests,Cargo and dimension tests for real shoppers.,Minimal text-first tables mirroring videos.,Back-to-back segment comparisons.,s53-autobuyers.png
54,Oyster,https://www.oyster.com/,Cars and travel,Hotel reviews,"10,000 plus hotels with investigator photos.",Bright design with side by side photo compare.,Investigators stay overnight and rate in context.,s54-oyster.png
55,The Points Guy,https://thepointsguy.com/,Cars and travel,Points reviews,Airline and hotel reviews with monthly points valuations.,Bold editorial cards with deal and review rails.,Valuation tables plus applied redemption tests.,s55-thepointsguy.png
56,Porsche 911,https://www.porsche.com/usa/models/911/,Cars and travel,Brand page,20 plus variants compared with factory specs.,"Full-bleed studio imagery, quiet type.",Factory truth with downloadable build PDF.,s56-porsche.png
