#,Name,Link,Kind,What it covers,Why the design works,What to copy,Screenshot file
1,Our World in Data,https://ourworldindata.org,Research library,Global problems with charts and sources on one long page.,"Plain text plus one chart per claim, lots of white space but packed.",Chart plus takeaway plus sources block.,dense-01-our-world-in-data.png
2,Examine,https://examine.com,Evidence grades,Supplement and health claims graded by strength of proof.,Plain pages with dense tables and reference lists.,Evidence grades and linked references.,dense-02-examine.png
3,RTINGS,https://www.rtings.com,Lab tests,"Lab scores for TVs, headphones, and sleep products with method notes.","Simple layout with scores, tables, and compare tools packed in.",Score plus method plus compare table.,dense-03-rtings.png
4,Gwern,https://gwern.net,Long essays,"Huge essays on sleep, stats, and tech with footnotes.",Brutally plain pages with side notes and version history.,Footnotes and dated correction history.,dense-04-gwern.png
5,Bartosz Ciechanowski,https://ciechanow.ski,Interactive guides,"Physics guides on watches, GPS, light, and sound you can drag.",Minimal text with interactive diagrams built in.,Drag-to-learn diagrams for foam and pressure.,dense-05-ciechanowski.png
6,Construction Physics,https://www.construction-physics.com/,Industry deep dives,"How things get built, with supply chain history.",Plain blog look with long source-heavy posts.,Supply chain and materials post shape.,dense-06-construction-physics.png
7,Bits About Money,https://bitsaboutmoney.com,Explain finance,Payments and banking explained in plain words with history.,Plain posts that build from simple to deep.,Boring topic made clear step by step.,dense-07-bits-about-money.png
8,Low-Tech Magazine solar,https://solar.lowtechmagazine.com,Light pages,"Long essays on low energy living, served from solar power.","Super light fast pages, still long and researched.",Fast light pages that still go deep.,dense-08-low-tech.png
9,Stanford Encyclopedia of Philosophy,https://plato.stanford.edu,Reference,"Peer checked entries on ideas, logic, and science.","Text only, one long page per topic with sources.",Trusted reference page shape.,dense-09-stanford-philosophy.png
10,ArchWiki,https://wiki.archlinux.org,How-to wiki,Dense how-to notes with tables and links everywhere.,"Plain text with warnings, tables, and cross links.",Table layout and cross linking.,dense-10-archwiki.png
11,Distill,https://distill.pub,Research journal,Machine learning papers with live charts (kept online as archive).,Plain article template with live figures inside.,Research plus live figure in one page.,dense-11-distill.png
12,100r,https://100r.co,Personal wiki,"Off grid living notes, tools, and logs as a hand made wiki.","Tiny plain pages, very dense, loads instantly.",Small linked wiki pages.,dense-12-100r.png
13,Paul Graham essays,https://paulgraham.com/articles.html,Essays,"Short dense essays on work and ideas, one index page.","Just text on white, words carry all weight.",One page index with zero clutter.,dense-13-paul-graham.png
14,Derek Sivers,https://sive.rs,Short notes,Very short plain notes on life and work.,"Ultra plain, fast, packed with meaning.",Short note format.,dense-14-sivers.png
15,The Pudding,https://pudding.cool,Visual essays,Data stories with charts and motion.,One idea per page with one chart and short text.,One chart plus short sourced text.,dense-15-pudding.png
